,track_id,track_name,track_number,track_popularity,explicit,artist_name,artist_popularity,artist_followers,artist_genres,album_id,album_name,album_release_date,album_total_tracks,album_type,track_duration_min,genres_list,genres_grouped,genres_final,year
2025,5jQI2r1RdgtuT8S3iG8zFC,Lavender Haze,1,72,True,Taylor Swift,100,145396321,"country, pop, indie, folk",151w1FgRZfnKZA9FEcg9Z3,Midnights,2022-10-21,13,album,3.37,"['country', 'pop', 'indie', 'folk']","['country', 'pop', 'indie', 'folk']","country, pop, indie, folk",2022
2026,2y6u1FsY2HSuSsn0cemmqu,You Should Be Here,14,37,False,Cole Swindell,64,2565032,"country, acoustic country",6xajE2di8hP5Rseil7V3fb,Single Saturday Night - Country Songs,2022-10-21,27,compilation,3.16,"['country', 'acoustic country']",['country'],country,2022
2027,4D7BCuvgdJlYvlX5WlN54t,"You're On Your Own, Kid",5,79,False,Taylor Swift,100,145396321,"country, pop, indie, folk",151w1FgRZfnKZA9FEcg9Z3,Midnights,2022-10-21,13,album,3.23,"['country', 'pop', 'indie', 'folk']","['country', 'pop', 'indie', 'folk']","country, pop, indie, folk",2022
2028,0heeNYlwOGuUSe7TgUD27B,Question...?,7,64,True,Taylor Swift,100,145443567,"country, pop, indie, folk",151w1FgRZfnKZA9FEcg9Z3,Midnights,2022-10-21,13,album,3.5,"['country', 'pop', 'indie', 'folk']","['country', 'pop', 'indie', 'folk']","country, pop, indie, folk",2022
2029,0V3wPSX9ygBnCm8psDIegu,Anti-Hero,3,79,False,Taylor Swift,100,145489371,"country, pop, indie, folk",151w1FgRZfnKZA9FEcg9Z3,Midnights,2022-10-21,13,album,3.34,"['country', 'pop', 'indie', 'folk']","['country', 'pop', 'indie', 'folk']","country, pop, indie, folk",2022
2030,5eZin4PL4EZpemG7Vi6Qvq,Bejeweled,9,39,False,Taylor Swift,100,145396321,"country, pop, indie, folk",4moVP48t9bji7djUc5VOvi,Midnights,2022-10-21,13,album,3.23,"['country', 'pop', 'indie', 'folk']","['country', 'pop', 'indie', 'folk']","country, pop, indie, folk",2022
2031,6G12ZafqofSq7YtrMqUm76,Monotonía,1,67,False,Shakira,85,39777995,latin pop,5pJtcJojr98hbb6KF0ImMe,Monotonía,2022-10-19,1,single,2.64,['latin pop'],['other'],other,2022
2032,5z6sjOsFlyoyjIt58BozF2,meet me in the pale moonlight,1,0,False,marble fade,0,335,,2U6rPiZGOOvqji5HKLwbab,meet me in the pale moonlight,2022-10-18,1,single,3.37,[],['unknown'],unknown,2022
2033,0yQAqMvw9tFOEli7EpFBLT,Nori Brandyfoot,5,42,False,Bear McCreary,59,241512,"celtic, soundtrack",1zCtGVGxobce9FJXXLe1V2,The Lord of the Rings: The Rings of Power (Season One: Amazon Original Series Soundtrack),2022-10-14,38,album,2.82,"['celtic', 'soundtrack']",['soundtrack'],soundtrack,2022
2034,1fDFHXcykq4iw8Gg7s5hG9,About You,10,86,False,The 1975,76,7959873,,6dVCpQ7oGJD1oYs2fv1t5M,Being Funny In A Foreign Language,2022-10-14,11,album,5.44,[],['unknown'],unknown,2022
