track_number_log,artist_popularity_log,artist_followers_log,album_total_tracks_log,track_duration_min_log,year,followers_per_pop_log,explicit_False,explicit_True,album_type_album,album_type_compilation,album_type_single,genres_country,genres_hip hop,genres_indie,genres_others,genres_pop,genres_soundtrack,genres_unknown
0.6145786979457427,0.5212591716749503,0.6459780278679904,0.14012747059061742,0.8276370103497772,2013,0.6494923599044571,False,True,True,False,False,0,0,0,0,0,0,1
1.2294240746950407,0.23768014152870856,0.30382090810523216,0.44641905656735015,0.9225717459893563,2015,0.30575734492842543,False,True,True,False,False,0,0,0,0,0,0,1
0.25025914124438453,0.49446508141203593,0.7560360894156343,1.0795964446157542,0.1994705406951108,1973,0.7787714171048403,True,False,False,True,False,0,0,0,1,0,0,0
-1.1410195664732006,-0.12236611671835028,-0.3493550067100132,-1.7675369342209681,0.7631499556881599,2018,-0.3791638462742347,True,False,False,False,True,0,0,0,1,0,0,0
-1.1410195664732006,0.3265903759061938,0.48888191953720944,-1.7675369342209681,-0.5487748064718178,2022,0.5018943124764874,False,True,False,False,True,0,0,0,0,0,0,1
2.1550174244700835,0.9335981562957886,1.2415594133705148,1.593682823695496,0.546552008639779,2017,1.2607114733617013,True,False,True,False,False,1,0,1,1,1,0,0
1.5691526363053376,0.6506177294430407,1.1384701697627706,0.5109653503532026,2.8519355679082663,2013,1.1884706965049951,False,True,True,False,False,0,1,0,1,0,0,0
0.019367768062246233,0.7729038915002867,1.1626132093627795,0.8328000996211082,1.3537459409065657,2025,1.1965069741173626,False,True,True,False,False,0,1,0,1,0,0,0
0.7637387167524983,0.04850160568349045,-0.14074664319127764,0.14012747059061742,0.07718846240580876,2015,-0.1692817760666637,True,False,True,False,False,1,0,0,0,0,0,0
0.8971669002717184,-0.12236611671835028,-0.9198623029257558,0.44641905656735015,-1.416374972977786,2003,-1.027155896200481,True,False,False,True,False,0,0,0,0,0,1,0
-1.1410195664732006,0.5739034781226952,0.007611634569698057,-1.7675369342209681,-0.7409803509001477,2024,-0.08405768391648312,True,False,False,False,True,0,0,0,0,0,0,1
-0.6275399909650874,0.11335483626839482,0.31604182938767456,0.3777056820169327,0.1994705406951108,2013,0.3393551008491262,True,False,True,False,False,1,0,0,0,0,0,0
-1.1410195664732006,0.17638097014408477,0.18720100463035735,-1.3358431899349283,1.209946310653798,2024,0.1829940017798204,False,True,False,False,True,0,0,0,1,0,0,0
0.8971669002717184,0.46734620639191343,0.880129766285896,0.3777056820169327,-0.4074365712655857,2020,0.9240471337013483,True,False,True,False,False,0,0,0,0,0,0,1
0.019367768062246233,0.5739034781226952,1.0595645581747186,1.0035149591626973,0.4949627202243303,2018,1.1109954029908753,True,False,True,False,False,0,0,0,1,0,0,0
-0.6275399909650874,0.08116320467558713,-0.14411941517019702,0.44641905656735015,-0.9665986372793308,2024,-0.17829227094170239,False,True,True,False,False,0,0,0,0,0,0,1
-1.1410195664732006,0.6756155291268527,0.8558073268548799,-1.7675369342209681,0.41638699582097455,2024,0.8633901014780798,True,False,False,False,True,0,0,0,1,1,0,0
-1.1410195664732006,0.3265903759061938,0.4626638720615355,0.22534796302609483,0.2179751967297449,2007,0.4721096703646596,False,True,True,False,False,0,0,0,0,0,0,1
-1.1410195664732006,-0.01828782562467367,-0.4299758130358797,-1.7675369342209681,-0.12808058999936242,2021,-0.4872476873670391,True,False,False,False,True,0,0,0,0,0,0,1
0.019367768062246233,-0.19454269196357854,-0.45043847106075735,0.22534796302609483,-1.3358161480415232,2017,-0.48254542263746736,False,True,True,False,False,0,0,0,0,0,0,1
-0.2632204342637289,0.8200062585373853,1.134107612038274,0.3777056820169327,0.2730112763437933,2020,1.1566542841943679,False,True,True,False,False,0,0,0,1,0,0,0
-1.1410195664732006,0.7247884930688877,0.7106530591780162,-1.7675369342209681,-0.4720868905639826,2024,0.6906916281089425,False,True,False,False,True,0,0,0,0,1,0,0
-1.1410195664732006,-0.23152336526247264,-0.9501286475075928,-1.7675369342209681,-1.0903301470887616,2024,-1.0442229758625545,True,False,False,False,True,0,0,0,1,0,0,0
-0.2632204342637289,0.46734620639191343,0.7073304525942334,0.047487521117783676,-0.526722611108802,2014,0.7277401894285865,True,False,True,False,False,0,0,0,1,0,0,0
1.0178673740951556,-0.26912559150218385,-0.564486766896901,0.22534796302609483,0.00015352344887009604,2014,-0.6002693923529202,True,False,True,False,False,0,0,0,0,0,0,1
-0.2632204342637289,-1.0834179763907124,-1.3288400043077935,-0.5978578596721555,-0.23968819143422052,2019,-1.3391624958953818,False,True,False,False,True,0,0,0,0,0,0,1
-1.1410195664732006,0.5477361646662584,0.6667866411186563,-1.7675369342209681,0.12463671507291245,2020,0.6689332347327652,False,True,False,False,True,0,0,0,1,0,0,0
0.8971669002717184,0.5997682725067932,0.7945185191528306,0.22534796302609483,0.3720987274721559,2019,0.8057908273585364,False,True,True,False,False,0,0,0,0,0,0,1
-1.1410195664732006,-1.0295050111076747,-1.2537166704868405,-1.7675369342209681,0.03884528249861437,2015,-1.2624393923121078,True,False,False,False,True,0,0,0,0,0,0,1
-1.1410195664732006,0.11335483626839482,-0.20227640293179228,0.3042498150985339,0.46021914619526,2019,-0.24946268858226708,True,False,False,True,False,0,0,0,1,0,0,0
-1.1410195664732006,-2.2815221070278655,-2.2677661223859893,-1.7675369342209681,-1.610496236302919,2019,-2.211966904862684,True,False,False,False,True,0,0,0,1,0,0,0
-1.1410195664732006,-0.4261921610312291,-0.7182126005625685,-0.4337355151642393,-0.17844880132039986,2010,-0.74997800325572,True,False,True,False,False,0,0,0,1,0,0,0
